Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
4081;Xieng Khouang Airport;Phon Savan;Laos;XKH;VLXK;19.450001;103.157997;1050;7.0;U;Asia/Vientiane;19.450001, 103.157997
4085;Yinchuan Airport;Yinchuan;China;0;ZLIC;38.481899;106.009003;0;8.0;U;Asia/Shanghai;38.481899, 106.009003
4093;Sihanoukville International Airport;Sihanoukville;Cambodia;KOS;VDSV;10.57970047;103.637001038;10;7.0;N;Asia/Phnom_Penh;10.57970047, 103.637001038
4095;Hawke's Bay Airport;NAPIER;New Zealand;NPE;NZNR;-39.465801;176.869995;2;12.0;Z;Pacific/Auckland;-39.465801, 176.869995
4096;Levuka Airfield;Levuka;Fiji;LEV;NFNB;-17.7110996246;178.759002686;3;12.0;N;Pacific/Fiji;-17.7110996246, 178.759002686
4098;Redding Municipal Airport;Redding;United States;RDD;KRDD;40.50899887;-122.2929993;154;-8.0;A;America/Los_Angeles;40.50899887, -122.2929993
4101;Rogue Valley International Medford Airport;Medford;United States;MFR;KMFR;42.37419891357422;-122.87300109863281;407;-8.0;A;America/Los_Angeles;42.37419891357422, -122.87300109863281
4103;Roberts Field;Redmond-Bend;United States;RDM;KRDM;44.2541008;-121.1500015;939;-8.0;A;America/Los_Angeles;44.2541008, -121.1500015
4104;Picton Aerodrome;Picton;New Zealand;PCN;NZPN;-41.346099853516;173.95599365234;49;12.0;Z;Pacific/Auckland;-41.346099853516, 173.95599365234
4106;Victoria Harbour Seaplane Base;Victoria;Canada;YWH;CYWH;48.4249858939;-123.388867378;0;-8.0;A;America/Vancouver;48.4249858939, -123.388867378
4110;Yibin Caiba Airport;Yibin;China;YBP;ZUYB;28.8005555556;104.545;282;8.0;U;Asia/Shanghai;28.8005555556, 104.545
4113;Huntsville International Carl T Jones Field;Huntsville;United States;HSV;KHSV;34.637199401855;-86.775100708008;192;-6.0;A;America/Chicago;34.637199401855, -86.775100708008
4127;Glacier Park International Airport;Kalispell;United States;FCA;KGPI;48.31050109863281;-114.25599670410156;907;-7.0;A;America/Denver;48.31050109863281, -114.25599670410156
4128;MBS International Airport;Saginaw;United States;MBS;KMBS;43.532901763916016;-84.07959747314453;204;-5.0;A;America/New_York;43.532901763916016, -84.07959747314453
4129;Greater Binghamton/Edwin A Link field;Binghamton;United States;BGM;KBGM;42.20869827;-75.97979736;499;-5.0;A;America/New_York;42.20869827, -75.97979736
4135;Trat Airport;Trat;Thailand;TDX;VTBO;12.274600029;102.319000244;32;7.0;U;Asia/Bangkok;12.274600029, 102.319000244
4138;Al Taqaddum Air Base;Al Taqaddum;Iraq;TQD;ORAT;33.33810043335;43.597099304199;84;3.0;U;Asia/Baghdad;33.33810043335, 43.597099304199
4146;John A. Osborne Airport;Geralds;Montserrat;MNI;TRPG;16.791400909423828;-62.19329833984375;168;-4.0;N;America/Montserrat;16.791400909423828, -62.19329833984375
4149;Xuzhou Guanyin Airport;Xuzhou;China;XUZ;ZSXZ;34.059056;117.555278;0;8.0;U;Asia/Shanghai;34.059056, 117.555278
4152;Kanti Airport;Khamti;Burma;KHM;VYKI;25.988300323486328;95.67440032958984;1829;6.5;U;Asia/Rangoon;25.988300323486328, 95.67440032958984
4153;Lien Khuong Airport;Dalat;Vietnam;DLI;VVDL;11.75;108.366997;962;7.0;U;Asia/Saigon;11.75, 108.366997
4158;Dong Tac Airport;Tuy Hoa;Vietnam;TBB;VVTH;13.049599647500001;109.333999634;6;7.0;U;Asia/Saigon;13.049599647500001, 109.333999634
4165;Aachen-Merzbrück Airport;Aachen;Deutschland;AAH;EDKA;50.823055267333984;6.186388969421387;190;1.0;E;Europe/Berlin;50.823055267333984, 6.186388969421387
4169;John Murtha Johnstown Cambria County Airport;Johnstown;United States;JST;KJST;40.31610107421875;-78.83390045166016;696;-5.0;A;America/New_York;40.31610107421875, -78.83390045166016
4170;Lukla Airport;Lukla;Nepal;LUA;VNLK;27.686899185180664;86.72969818115234;2859;5.75;N;Asia/Katmandu;27.686899185180664, 86.72969818115234
4177;Rumjatar Airport;Rumjatar;Nepal;RUM;VNRT;27.303499221801758;86.55039978027344;1372;5.75;N;Asia/Katmandu;27.303499221801758, 86.55039978027344
4185;Simikot Airport;Simikot;Nepal;IMK;VNST;29.971099853515625;81.81890106201172;2818;5.75;N;Asia/Katmandu;29.971099853515625, 81.81890106201172
4189;Muan International Airport;Muan;South Korea;MWX;RKJB;34.991406;126.382814;11;9.0;U;Asia/Seoul;34.991406, 126.382814
4191;Ikaria Airport;Ikaria;Greece;JIK;LGIK;37.6827011108;26.3470993042;24;2.0;E;Europe/Athens;37.6827011108, 26.3470993042
4192;Kalymnos Airport;Kalymnos;Greece;JKL;LGKY;36.9632987976;26.9405994415;235;2.0;E;Europe/Athens;36.9632987976, 26.9405994415
4195;Paros National Airport;Paros;Greece;PAS;LGPA;37.020495;25.113195;40;2.0;E;Europe/Athens;37.020495, 25.113195
4196;Kastelorizo Airport;Kastelorizo;Greece;KZS;LGKJ;36.1417007446;29.576400756799995;149;2.0;E;Europe/Athens;36.1417007446, 29.576400756799995
4197;Marsa Alam International Airport;Marsa Alam;Egypt;RMF;HEMA;25.557100296;34.5836982727;77;2.0;U;Africa/Cairo;25.557100296, 34.5836982727
4198;Weeze Airport;Weeze;Deutschland;NRN;EDLV;51.6024017334;6.14216995239;32;1.0;E;Europe/Berlin;51.6024017334, 6.14216995239
4199;Francisco B. Reyes Airport;Busuanga;Philippines;USU;RPVV;12.1215000153;120.099998474;45;8.0;N;Asia/Manila;12.1215000153, 120.099998474
4202;Laoag International Airport;Laoag;Philippines;LAO;RPLI;18.1781005859375;120.53199768066406;8;8.0;N;Asia/Manila;18.1781005859375, 120.53199768066406
4208;Juist Airport;Juist;Deutschland;JUI;EDWJ;53.68111038208008;7.055832862854004;2;1.0;E;Europe/Berlin;53.68111038208008, 7.055832862854004
4209;Porto Seguro Airport;Porto Seguro;Brazil;BPS;SBPS;-16.438601;-39.080898;51;-3.0;S;America/Fortaleza;-16.438601, -39.080898
4213;Iguatu Airport;Iguatu;Brazil;QIG;SNIG;-6.346640110015869;-39.293800354003906;213;-3.0;S;America/Fortaleza;-6.346640110015869, -39.293800354003906
4216;Missoula International Airport;Missoula;United States;MSO;KMSO;46.91630173;-114.0910034;977;-7.0;A;America/Denver;46.91630173, -114.0910034
4219;Grand Canyon National Park Airport;Grand Canyon;United States;GCN;KGCN;35.95240020751953;-112.14700317382812;2014;-7.0;N;America/Phoenix;35.95240020751953, -112.14700317382812
4220;Sugar Land Regional Airport;Sugar Land;United States;SGR;KSGR;29.622299194336;-95.65650177002;25;-6.0;A;America/Chicago;29.622299194336, -95.65650177002
4223;Clovis Municipal Airport;Clovis;United States;CVN;KCVN;34.4250984192;-103.07900238;1285;-7.0;A;America/Denver;34.4250984192, -103.07900238
4227;La Junta Municipal Airport;La Junta;United States;0;KLHX;38.04970169;-103.5090027;1289;-7.0;A;America/Denver;38.04970169, -103.5090027
4228;Las Cruces International Airport;Las Cruces;United States;LRU;KLRU;32.289398193359375;-106.9219970703125;1358;-7.0;A;America/Denver;32.289398193359375, -106.9219970703125
4231;Ozona Municipal Airport;Ozona;United States;OZA;KOZA;30.735300064087;-101.20300292969;726;-6.0;A;America/Chicago;30.735300064087, -101.20300292969
4239;Fort Good Hope Airport;Fort Good Hope;Canada;YGH;CYGH;66.24079895019531;-128.6510009765625;82;-7.0;A;America/Edmonton;66.24079895019531, -128.6510009765625
4256;Lawton Fort Sill Regional Airport;Lawton;United States;LAW;KLAW;34.5676994324;-98.4166030884;338;-6.0;A;America/Chicago;34.5676994324, -98.4166030884
4262;Lake Tahoe Airport;South Lake Tahoe;United States;TVL;KTVL;38.89390182495117;-119.99500274658203;1909;-8.0;A;America/Los_Angeles;38.89390182495117, -119.99500274658203
4268;Concord Municipal Airport;Concord NH;United States;CON;KCON;43.20270157;-71.50229645;104;-5.0;A;America/New_York;43.20270157, -71.50229645
4271;St Cloud Regional Airport;Saint Cloud;United States;STC;KSTC;45.546600341796875;-94.05989837646484;314;-6.0;A;America/Chicago;45.546600341796875, -94.05989837646484
4273;Golden Triangle Regional Airport;Columbus Mississippi;United States;GTR;KGTR;33.450298309299995;-88.5914001465;80;-6.0;A;America/Chicago;33.450298309299995, -88.5914001465
4275;Bowerman Airport;Hoquiam;United States;HQM;KHQM;46.971199035599994;-123.93699646;5;-8.0;A;America/Los_Angeles;46.971199035599994, -123.93699646
4284;Morgantown Municipal Walter L. Bill Hart Field;Morgantown;United States;MGW;KMGW;39.64289856;-79.91629791;380;-5.0;A;America/New_York;39.64289856, -79.91629791
4290;Fagali'i Airport;Apia;Samoa;FGI;NSFI;-13.848699569699999;-171.740005493;40;13.0;U;Pacific/Apia;-13.848699569699999, -171.740005493
4291;Ballina Byron Gateway Airport;Ballina Byron Bay;Australia;BNK;YBNA;-28.8339004517;153.56199646;2;10.0;O;Australia/Sydney;-28.8339004517, 153.56199646
4292;Hector International Airport;Fargo;United States;FAR;KFAR;46.92070007324219;-96.81580352783203;275;-6.0;A;America/Chicago;46.92070007324219, -96.81580352783203
4293;Charles B. Wheeler Downtown Airport;Kansas City;United States;MKC;KMKC;39.123199462890625;-94.5927963256836;231;-6.0;A;America/Chicago;39.123199462890625, -94.5927963256836
4300;Chumphon Airport;Chumphon;Thailand;CJM;VTSE;10.711199760437012;99.36170196533203;5;7.0;U;Asia/Bangkok;10.711199760437012, 99.36170196533203
4302;Jieyang Chaoshan International Airport;Shantou;China;SWA;ZGOW;23.552;116.5033;0;8.0;U;Asia/Shanghai;23.552, 116.5033
4304;Cheddi Jagan International Airport;Georgetown;Guyana;GEO;SYCJ;6.498549938201904;-58.25410079956055;29;-4.0;U;America/Guyana;6.498549938201904, -58.25410079956055
4306;Eugene F. Correira International Airport;Georgetown;Guyana;OGL;SYGO;6.80628;-58.1059;3;-4.0;U;America/Guyana;6.80628, -58.1059
4309;Ancona Falconara Airport;Ancona;Italy;AOI;LIPY;43.616299;13.3623;15;1.0;E;Europe/Rome;43.616299, 13.3623
4313;Taba International Airport;Taba;Egypt;TCP;HETB;29.587799072299998;34.7780990601;736;2.0;U;Africa/Cairo;29.587799072299998, 34.7780990601
