lfd_nr;stadtteil;standort;baumart_botanisch;baumart_deutsch;id;baumfamilie
23325;Stadionviertel;Pskowstr. 22 nebenan;Quercus cerris;Eiche, Zerr;51.1985, 6.66;Eiche
23326;Stadionviertel;Konrad-Adenauer-Ring Ecke Klever Str.;Alnus spaethii;Erle, Purpur;51.2005, 6.66536;Erle
23328;Stadionviertel;Konrad-Adenauer-Ring Ecke Klever Str.;Alnus spaethii;Erle, Purpur;51.2004, 6.66533;Erle
23330;Stadionviertel;Glehner Weg 2 ggb. - Ecke Jahnstr.;Prunus avium 'Plena';Kirsche, Wild;51.1978, 6.67366;Kirsche
23331;Stadionviertel;Glehner Weg 2 ggb. - Ecke Jahnstr.;Prunus avium 'Plena';Kirsche, Wild;51.1977, 6.67359;Kirsche
23258;Innenstadt;Breite Str. 142;Tilia europaea 'Pallida';Linde, Kaiser;51.1992, 6.68226;Linde
23061;Augustinusviertel;Stresemannallee Seitenstreifen;Tilia europaea 'Pallida';Linde, Kaiser;51.1956, 6.70677;Linde
23251;Innenstadt;Marienkirchplatz 2a;Ostyra carpinifolia;Hopfenbuche;51.2028, 6.68513;Hopfenbuche
23252;Innenstadt;Niederstr. 65 Seitengasse;Magnolia kobus;Magnolie, Baum;51.1998, 6.68905;Magnolie
23257;Innenstadt;Kaiser-Friedrich-Str. 162 ggb.;Tilia europaea 'Pallida';Linde, Kaiser;51.1931, 6.6909;Linde
23376;Weckhoven;Maximilian-Kolbe-Str. 13 dahinter Grünzug;Juglans regia;Nuss, Wal;51.1569, 6.69954;Nuss
23377;Weckhoven;Maximilian-Kolbe-Str. 13 dahinter Grünzug;Juglans regia;Nuss, Wal;51.1568, 6.69955;Nuss
23408;Innenstadt;Münsterplatz 14-18;Robinia pseudoacacia;Robinie;51.1991, 6.69231;Robinie
23402;Erfttal;Berghäuschensweg Hochzeitshain Gnadentaler Mühle;Quercus petraea;Eiche, Trauben;51.1726, 6.71869;Eiche
23403;Erfttal;Berghäuschensweg Hochzeitshain Gnadentaler Mühle;Prunus avium 'Plena';Kirsche, Wild;51.1727, 6.7184;Kirsche
23404;Erfttal;Berghäuschensweg Hochzeitshain Gnadentaler Mühle;Prunus avium 'Plena';Kirsche, Wild;51.1727, 6.71817;Kirsche
23409;Stadionviertel;Grefrather Weg Konrad-Adenauer-Ring (Grünzug);Juglans regia;Nuss, Wal;51.1866, 6.67792;Nuss
23410;Uedesheim;Johannesstr. 9 a ggb.;Castanea sativa;Esskastanie;51.1661, 6.79313;Esskastanie
23413;Norf;Geibelstr. 17;Juglans regia;Nuss, Wal;51.155, 6.73155;Nuss
23438;Norf;Villestr. Ecke von-Waldhausen-Str.;Parrotia persica;Eisenholzbaum;51.1516, 6.71823;Eisenholzbaum
23134;Furth-Mitte;Jostenallee 56 ggb. - Am Jostensbusch Park;Prunus serrulata Kanzan;Kirsch, Jap. Zier;51.2101, 6.66397;Kirsch
23084;Furth-Mitte;Broichstr. 97 ggb. - Am Jostensbusch Park;Castanea sativa;Esskastanie;51.2108, 6.66269;Esskastanie
23335;Vogelsang;Kaarster Str. 234 a  - neben Bushalte;Tilia cordata 'Greenspire';Linde, Winter;51.2292, 6.64167;Linde
23336;Vogelsang;Kaarster Str. 199 ggb.;Tilia cordata 'Greenspire';Linde, Winter;51.2286, 6.64439;Linde
23135;Furth-Nord;Kaarster Str. 169;Acer campestre 'Elsrijk';Ahorn, Feld;51.2275, 6.64886;Ahorn
23337;Vogelsang;Kaarster Str. 167 ggb.;Koelreuteria paniculata;Blasenbaum;51.2275, 6.64911;Blasenbaum
23338;Vogelsang;Kaarster Str. 167 ggb.;Koelreuteria paniculata;Blasenbaum;51.2275, 6.64903;Blasenbaum
23341;Vogelsang;Benzstr. 5;Acer campestre 'Elsrijk';Ahorn, Feld;51.2261, 6.65267;Ahorn
23137;Furth-Nord;Kaarster Str. 117/119;Celtis australis;Zürgelbaum;51.2232, 6.65405;Zürgelbaum
23342;Vogelsang;Mühlenbachstr. 24;Juglans regia;Nuss, Wal;51.2274, 6.66001;Nuss
23139;Furth-Nord;Viersener Str. 100;Tilia europaea 'Pallida';LInde, Kaiser;51.2165, 6.64904;LInde
23140;Furth-Nord;Viersener Str. 100;Tilia europaea 'Pallida';LInde, Kaiser;51.2166, 6.64935;LInde
23141;Furth-Nord;Viersener Str. 72;Tilia europaea 'Pallida';LInde, Kaiser;51.2169, 6.65061;LInde
23142;Furth-Nord;Viersener Str. 72;Tilia europaea 'Pallida';LInde, Kaiser;51.2169, 6.65073;LInde
23145;Furth-Nord;Viersener Str. 53 nebenan Grünzug Parkplatz;Liriodendron tulipifera;Tulpenbaum;51.2172, 6.65322;Tulpenbaum
23146;Furth-Nord;Viersener Str. 53 nebenan Grünzug Parkplatz;Liriodendron tulipifera;Tulpenbaum;51.2173, 6.65363;Tulpenbaum
23147;Furth-Nord;Viersener Str. 53 nebenan Grünzug Parkplatz;Liriodendron tulipifera;Tulpenbaum;51.2173, 6.65374;Tulpenbaum
23152;Furth-Nord;Im Püllenkamp Ecke Lange Hecke;Tilia mongolica;Linde, Mongolische;51.219, 6.64952;Linde
23154;Furth-Nord;Lange Hecke 51;Alnus spaethii;Erle, Purpur;51.2192, 6.64938;Erle
23155;Furth-Nord;Nehringskamp 11a/13;Juglans regia;Nuss, Wal;51.2227, 6.65178;Nuss
23157;Furth-Nord;Nehringskamp 5 dahinter;Juglans regia;Nuss, Wal;51.2229, 6.65277;Nuss
23158;Furth-Nord;Nehringskamp 13/13 a;Sorbus latifolia 'Henk Vink';Mehlbeere, Breitblättrige;51.2226, 6.65192;Mehlbeere
23162;Furth-Nord;Lauvenburger Str. 7;Fraxinus angustifolia 'Raywood';Esche, Schmalblättrige;51.2209, 6.65527;Esche
23165;Furth-Nord;Kaarster Str. 69;Tilia tomentosa;Linde, Silber;51.2191, 6.65742;Linde
23346;Vogelsang;Kaarster Str. 72/74;Tilia tomentosa;Linde, Silber;51.2189, 6.6577;Linde
23347;Vogelsang;Kaarster Str. 72/74;Tilia tomentosa;Linde, Silber;51.2188, 6.65774;Linde
23350;Vogelsang;Schmolzstr. 30;Sorbus latifolia 'Henk Vink';Mehlbeere, Breitblättrige;51.2239, 6.66308;Mehlbeere
23351;Vogelsang;Schmolzstr. 30;Sorbus latifolia 'Henk Vink';Mehlbeere, Breitblättrige;51.2239, 6.66319;Mehlbeere
23352;Vogelsang;Schmolzstr. 32;Sorbus latifolia 'Henk Vink';Mehlbeere, Breitblättrige;51.2239, 6.66328;Mehlbeere
23358;Vogelsang;Bickenbachstr. 37;Acer rubrum;Ahorn, Rot;51.2225, 6.66094;Ahorn
23363;Vogelsang;Furtherhofstr. Ecke Am Flachshof;Ulmus hollandica 'Lobel';Ulme, Stadt;51.2208, 6.66114;Ulme
23367;Vogelsang;Furtherhofstr. 32;Tilia tomentosa;Linde, Silber;51.2202, 6.66041;Linde
23368;Vogelsang;Furtherhofstr. 26;Alnus spaethii;Erle, Purpur;51.2199, 6.6601;Erle
23369;Vogelsang;Furtherhofstr. 9;Acer rubrum;Ahorn, Rot;51.2197, 6.6596;Ahorn
23065;Barbaraviertel;Gladbacher Str. 466;Acer platanoides 'Schwedleri';Ahorn, Roter Spitz;51.2258, 6.68945;Ahorn
23066;Barbaraviertel;Gladbacher Str. 466;Acer platanoides 'Schwedleri';Ahorn, Roter Spitz;51.2258, 6.68938;Ahorn
23076;Barbaraviertel;Osterather Str. Ecke Bockholstr.;Cercis siliquastrum;Judasbaum;51.2218, 6.68447;Judasbaum
23077;Barbaraviertel;Osterather Str. 1 Parkbucht;Liquidambar styraciflua;Amberbaum;51.2215, 6.68462;Amberbaum
23080;Barbaraviertel;Bockholtstr. Ecke Bataverstr.;Parrotia persica;Eisenholzbaum, Persischer;51.2211, 6.68143;Eisenholzbaum
